Name in Fastas,Genome,S3 Gene?,GeneID/Accession,Data Source,Genome Type,Sequencing,Assembler,MetaType,PhyloKingdom,PhyloPhylum,PhyloClass,PhyloOrder,PhyloFamily,PhyloGenus,IMGAccession,NCBIAccession,BioSample,BioProject,Sample Location,Country,Latitude,Longitude,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Treatment,Genome Size,Scaffolds,Genes,GC%,16S rRNA sequences,CRISPRs,Citation/ContactName,ClosestIsolateRef,IsolateRefAlignLength,IsolateRefPercID,IsolateRefEvalue,IsolateRefBitscore,ClosestGenomeRef,GenomeRefAlignLength,GenomeRefPercID,GenomeRefEvalue,GenomeRefBitscore,Outgroup
2618673909=Candidatus_Methanoperedens_nitroreducens_ANME2d,Candidatus Methanoperedens nitroreducens ANME-2d,Yes,2618673909,IMG,MAG,"Illumina HiSeq 2000, Illumina GAII",CLC Genomic Workbench v.5.1.5 ,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,2617271069,JMIY00000000,SAMN02713514,PRJNA242803,Brisbane,Australia,-27.499063,153.016382,Mixed,Mixed,Mixed,Unknown,"Mixed freshwater lake, anaerobic digestersludge and return sludge from the Luggage Point waste-water treatment plan",Enrichment,3.20,10,3456,43.00,1,6,Haroon 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2515321138=uncultured_Methanosarcinales_sp_ANME2D_V10,Candidatus Methanoperedens nitroreducens ANME-2d (ANME_V10),Yes,2515321138,IMG,MAG,"Ion Torrent PGM, Illumina HiSeq 2000",Velvet,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,2515154041,Unknown,Unknown,Unknown,Brisbane,Australia,-27.46,153.04,Aquatic,Lentic,Freshwater,Wastewater,"Aquatic, Fresh water, Lake, Wastewater treatment plant",Enrichment,3.20,10,3481,43.00,1,8,"Harron 2013, Lyu 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2518743650=uncultured_Methanosarcinales_sp_ANME2D_V9,Candidatus Methanoperedens nitroreducens ANME-2d (ANME_V9_SC),Yes,2518743650,IMG,MAG,"Ion Torrent PGM, Illumina HiSeq 2000",Velvet,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,2518645528,Unknown,Unknown,Unknown,Brisbane,Australia,-27.46,153.04,Aquatic,Lentic,Freshwater,Wastewater,"Aquatic, Fresh water, Lake, Wastewater treatment plant",Enrichment,3.26,4,3553,43.00,1,8,"Harron 2013, Lyu 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNQ60704=Candidatus_Methanoperedens_nitroreducens_Mnv1_Vercelli,Candidatus Methanoperedens nitroreducens Mnv1 Vercelli,Yes,SNQ60704.1,NCBI,MAG,"Ion Torrent PGM, Illumina HiSeq 2000",CLC Genomics Workbench 9.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,FZMP00000000,SAMEA104141092,PRJEB20370,Italian Rice Research Unit,Italy,45.324167,8.373889,Terrestrial,Unknown,Soil,Agriculture,Bioreactor,Enrichment,3.52,250,3758,44.1,1,NA,Vaksmaa 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KPQ42969=Candidatus_Methanoperedens_sp_BLZ1,Candidatus Methanoperedens sp. BLZ1,Yes,KPQ42969.1,NCBI,MAG,Ion Torrent PGM,CLC NGS Cell v. 6.5.1,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,LKCM00000000,SAMN04087218,PRJNA296416,Twentekanaal,Netherlands,51.823369,5.86816,Aquatic,River,Freshwater,River Sediment,Sediment bioreactor,Enrichment,3.74,514,4528,NA,NA,NA,Arshad 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_097298186=Candidatus_Methanoperedens_sp_BLZ2,Candidatus Methanoperedens sp. BLZ2,Yes,WP_097298186.1,NCBI,MAG,Illumina MiSeq,CLC Genomics Workbench v9.5.2 ,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,NTMG00000000,SAMN07620899,PRJNA224116,Nijmegen,Netherlands,51.82,5.86,Wastewater,Unknown,Unknown,Wastewater,Unknown,Enrichment,3.74,85,4041,40.20,NA,NA,Berger 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Candidatus Methanoperedens sp. Ru_enrich_MN,No,Not identified,NCBI,MAG,Illumina MiSeq,MetaSPAdes v. 3.10.1,MAG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,NSJO00000000,SAMN07483404,PRJNA397647,Nijmegen,Netherlands,51.824,5.8686,Mixed,Mixed,Mixed,Unknown,Brackish-like bioreactor of two mixed inocula,Enrichment,3.59,146,NA,40.4,NA,NA,Arshad 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tpg_DAJM01000034_posc27352To26471=Candidatus_Methanoperedens_sp_UBA453,Candidatus Methanoperedens sp. UBA453,Yes,tpg|DAJM01000034.1|:c27352-26471,NCBI,MAG,Illumina HiSeq 2000,CLC de novo assembler v. 4.4.1,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,DAJM00000000,SAMN06027325,PRJNA348753,Unknown,Unknown,NA,NA,Wastewater,Unknown,Unknown,Wastewater,Bioreactor,Enrichment,3.09,72,3350,43,1,NA,Parks 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OYT64367=Methanosarcinales_archaeon_ex4484_138,Methanosarcinales archaeon ex4484_138,Yes,OYT64367.1,NCBI,MAG,Illumina HiSeq 2500,IDBA v. v1.0.9,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,NJEQ00000000,SAMN06647951,PRJNA362212,Guayamas Basin,USA,27.01,-111.42,Aquatic,Oceanic,Marine,Natural Seep,Hydrothermal vent sediment,Native,1.08,103,1215,46.20,NA,NA,Dombrowski 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2515300072=unclassified_Methanosarcinales,unclassified Methanosarcinales ANME-2d,Yes,2515300072,IMG,MAG,Illumina,SaSSY,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,2515154035,Unknown,Unknown,Unknown,Brisbane,Australia,-27.47,153.02,Wastewater,Unknown,Unknown,Wastewater,Wastewater,Enrichment,3.20,10,3481,43.00,1,8,Fauzi Haroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJS13189=uncultured_archaeon,Uncultured archaeon clone RBG_16_scaffold_1030,Yes,AJS13189.1,NCBI,Contig,Illumina, Velvet v. 1.2.10,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,KP308675,SAMN02940502,PRJNA269172,Rifle,USA,39.53,107.78,Aquatic,Aquifer,Freshwater,Ground Water,Aquifer sediment/water,Native,2.23,1,2004,46.40,NA,1,Castelle 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AKQ01201=uncultured_euryarchaeote_Rifle_16ft_4_minimus_1523,uncultured euryarchaeote Rifle_16ft_4_minimus_1523,Yes,AKQ01201.1,NCBI,Contig,Illumina HiSeq 2000,idba_ud,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,3300025312,KT006955,SAMN03092877,PRJNA262935,Rfile,USA,39.5292792,-107.7716232,Aquatic,Aquifer,Freshwater,Ground Water,Ground water sediments,Native,0.01,1,24,NA,NA,NA,Hug 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3300012964==Ga0153916_107311451,"Freshwater wetland microbial communities from Ohio, USA - Open water 3 Core 3 Depth 4 metaG",Yes,Ga0153916_107311451,IMG,Gene,Illumina HiSeq 2500-1TB,MEGAHIT v. MEGAHIT v1.0.6,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300012964,NA,SAMN07632199,PRJNA406095,Old Woman Creek National Estuarine Research Reserve,USA,41.3778,-82.5108,Aquatic,Wetlands,Freshwater,Wetland,freshwater wetlands,Native,4928.87,7745321,10622330,NA,3237,1278,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,200,97,3E-141,392,NA
3300012964==Ga0153916_100459463,"Freshwater wetland microbial communities from Ohio, USA - Open water 3 Core 3 Depth 4 metaG",Yes,Ga0153916_100459463,IMG,Gene,Illumina HiSeq 2500-1TB,MEGAHIT v. MEGAHIT v1.0.6,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300012964,NA,SAMN07632199,PRJNA406095,Old Woman Creek National Estuarine Research Reserve,USA,41.3778,-82.5108,Aquatic,Wetlands,Freshwater,Wetland,freshwater wetlands,Native,4928.87,7745321,10622330,NA,3237,1278,Christopher S. Miller,NA,NA,NA,NA,NA,Candidatus Methanoperedens sp. BLZ2,287,94.43,0,546,NA
3300009167==Ga0113563_103521552,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG - Illumina Assembly (version 2)",Yes,Ga0113563_103521552,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009167,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4923.71,7013988,10000384,NA,2737,876,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,280,98.57,0,561,NA
3300009167==Ga0113563_109053492,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG - Illumina Assembly (version 2)",Yes,Ga0113563_109053492,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009167,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4923.71,7013988,10000384,NA,2737,876,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,276,97.46,0,550,NA
3300009167==Ga0113563_108364061,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG - Illumina Assembly (version 2)",Yes,Ga0113563_108364061,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009167,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4923.71,7013988,10000384,NA,2737,876,Christopher S. Miller,NA,NA,NA,NA,NA,Candidatus Methanoperedens sp. BLZ1,232,92.24,2E-155,428,NA
3300009091==Ga0102851_100355446,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (Illumina Assembly)",Yes,Ga0102851_100355446,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009091,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4333.94,6123530,8782706,NA,2600,850,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,280,88.21,0,515,NA
3300009091==Ga0102851_108520981,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (Illumina Assembly)",Yes,Ga0102851_108520981,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009091,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4333.94,6123530,8782706,NA,2600,850,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,259,91.89,9E-174,478,NA
3300009091==Ga0102851_104486521,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (Illumina Assembly)",Yes,Ga0102851_104486521,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009091,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4333.94,6123530,8782706,NA,2600,850,Christopher S. Miller,NA,NA,NA,NA,NA,Candidatus Methanoperedens sp. BLZ2,287,93.73,0,545,NA
3300009091==Ga0102851_112169901,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (Illumina Assembly)",Yes,Ga0102851_112169901,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v1.0.3,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009091,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,4333.94,6123530,8782706,NA,2600,850,Christopher S. Miller,NA,NA,NA,NA,NA,Candidatus Methanoperedens ferrireducens FeB_1 FeB1_42,209,97.13,3E-149,414,NA
3300024056==Ga0124853_10859323,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (PacBio error correction)",Yes,Ga0124853_10859323,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",metalrec/blasr v. metalrec version 1.0.2/blasr 1.3.1,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300024056,NA,SAMN09092693,PRJNA464847,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Native,1032.37,517763,1923871,NA,552,229,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,280,88.57,0,510,NA
3300006224==Ga0079037_1006667882,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaG",Yes,Ga0079037_1006667882,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v0.2.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300006224,NA,SAMN06343977,PRJNA375675,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Lake Water,Freshwater wetlands,Native,5559.82,12817573,15697153,NA,4176,7094,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,218,95.87,2E-155,429,NA
3300006224==Ga0079037_1013084511,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaG",Yes,Ga0079037_1013084511,IMG,Gene,"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II",MEGAHIT v. MEGAHIT v0.2.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300006224,NA,SAMN06343977,PRJNA375675,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Lake Water,Freshwater wetlands,Native,5559.82,12817573,15697153,NA,4176,7094,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,240,97.5,1E-172,474,NA
3300022185==Ga0079039_10522362,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaT (Metagenome Metatranscriptome)",Yes,Ga0079039_10522362,IMG,Gene,Illumina HiSeq 2500-1TB,megahit v. 1.0.6,MetaT,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300022185,Unknown,Unknown,PRJNA444452,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Lake Water,Freshwater wetlands,Native,292.09,673200,707332,NA,697,99,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,280,98.57,0,561,NA
3300022185==Ga0079039_11293391,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaT (Metagenome Metatranscriptome)",Yes,Ga0079039_11293391,IMG,Gene,Illumina HiSeq 2500-1TB,megahit v. 1.0.6,MetaT,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300022185,Unknown,Unknown,PRJNA444452,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Lake Water,Freshwater wetlands,Native,292.09,673200,707332,NA,697,99,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,230,86.52,6E-150,416,NA
3300022185==Ga0079039_13992783,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaT (Metagenome Metatranscriptome)",Yes,Ga0079039_13992783,IMG,Gene,Illumina HiSeq 2500-1TB,megahit v. 1.0.6,MetaT,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300022185,Unknown,Unknown,PRJNA444452,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Lake Water,Freshwater wetlands,Native,292.09,673200,707332,NA,697,99,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,229,89.52,3E-151,419,NA
3300022185==Ga0079039_16665941,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaT (Metagenome Metatranscriptome)",Yes,Ga0079039_16665941,IMG,Gene,Illumina HiSeq 2500-1TB,megahit v. 1.0.6,MetaT,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300022185,Unknown,Unknown,PRJNA444452,Old Woman Creek National Estuarine Research Reserve,USA,41.384,-82.513,Aquatic,Wetlands,Freshwater,Lake Water,Freshwater wetlands,Native,292.09,673200,707332,NA,697,99,Christopher S. Miller,NA,NA,NA,NA,NA,ANME-1 uncultured archaeon clone RBG_16_scaffold_1030,223,90.58,2E-147,409,NA
3300009062==Ga0123266_100311,"Methane seep sediment microbial communities from Hydrate Ridge, Oregon to study methane oxidation - BONCAT_CE_3730-ConsB06UF",Yes,Ga0123266_100311,IMG,Gene,"Illumina HiSeq 2500-1TB, Illumina NextSeq-HO",spades v. 3.6.2,SAG,Archaea,Euryarchaetoa,Methanomicrobia,Unclassified,Unclassified,Unclassified,3300009062,NA,SAMN07631984,PRJNA405478,Hydrate Ridge methane seep,USA,44.5692,-125.1539,Aquatic,Oceanic,Sediment,Marine Sediment,Methane seep sediment,Enrichment,3.18,201,3557,NA,1,12,Tanja Woyke,NA,NA,NA,NA,NA,uncultured archaeon ANME-1,227,90.31,2E-150,419,NA
